phase,resolution_m,radius_m,run,target_id,target_lon,target_lat,target_height_agl_m,elapsed_s,read_s,dense_s,mask_s,total_s,cache_lookup_s,cache_status,rows,cols,state_bytes,baseline_rss_bytes,peak_rss_bytes
warm_uncached,5,3000.0,12,2,126.99423715263802,37.55500928397593,120.0,0.16546473000198603,0.0893308859958779,0.05050685498281382,0.024272086011478677,0.16526197700295597,0.0011506000009831041,disabled,1201,1201,1442401,241913856,241917952
warm_uncached,5,3000.0,13,3,127.00779831866396,37.54285464789781,120.0,0.1525274140003603,0.08396079100202769,0.04027715601841919,0.026911141991149634,0.15223733900347725,0.0010858599853236228,disabled,1201,1201,1442401,241913856,241917952
warm_uncached,5,3000.0,14,4,127.0064726628693,37.55369503682594,120.0,0.15187207201961428,0.09239798900671303,0.03560005401959643,0.022389131976524368,0.1516808080195915,0.0012923729955218732,disabled,1201,1201,1442401,241913856,241917952
warm_uncached,5,3000.0,15,0,127.00002829110686,37.54954050092772,120.0,0.18353893698076718,0.0842625760124065,0.06872556498274207,0.02924888301640749,0.18326632198295556,0.0010273479856550694,disabled,1201,1201,1442401,241913856,241917952
warm_uncached,5,3000.0,16,1,126.99524311420606,37.545311527271124,120.0,0.16489645998808555,0.09934223198797554,0.04106381902238354,0.022735498991096392,0.16458249499555677,0.0014396249898709357,disabled,1201,1201,1442401,241913856,241917952
warm_uncached,5,3000.0,17,2,126.99423715263802,37.55500928397593,120.0,0.15174663701327518,0.08621627901447937,0.037857782997889444,0.02576034000958316,0.15133775997674093,0.001499916979810223,disabled,1201,1201,1442401,241913856,241930240
warm_uncached,5,3000.0,18,3,127.00779831866396,37.54285464789781,120.0,0.16236703199683689,0.0954647810140159,0.03829376999055967,0.027321558009134606,0.162107976997504,0.001026947982609272,disabled,1201,1201,1442401,241926144,241930240
warm_uncached,5,3000.0,19,4,127.0064726628693,37.55369503682594,120.0,0.1584238419891335,0.08888953598216176,0.04415051301475614,0.023631112999282777,0.15822840901091695,0.0015563270135316998,disabled,1201,1201,1442401,241926144,241930240
warm_uncached,5,3000.0,20,0,127.00002829110686,37.54954050092772,120.0,0.1467649380210787,0.08456335999653675,0.03492581099271774,0.02592994400765747,0.14653810500749387,0.0011165800096932799,disabled,1201,1201,1442401,241926144,241930240
warm_uncached,5,3000.0,21,1,126.99524311420606,37.545311527271124,120.0,0.14269742698525079,0.0819339330191724,0.03690362599445507,0.022478544007753953,0.14245658298023045,0.0011390599829610437,disabled,1201,1201,1442401,241926144,241930240
warm_uncached,5,3000.0,22,2,126.99423715263802,37.55500928397593,120.0,0.1521936140197795,0.08946642602677457,0.039177615981316194,0.022268329019425437,0.15203174101770855,0.0011181189911440015,disabled,1201,1201,1442401,241926144,241930240
